total,SD,not SD,timestep
25,2,23,0
25,2,23,1
25,2,23,2
25,2,23,3
26,2,24,4
32,3,29,5
37,8,29,6
42,12,30,7
47,13,34,8
51,14,37,9
55,17,38,10
59,22,37,11
64,25,39,12
67,26,41,13
74,26,48,14
56,17,39,15
57,20,37,16
63,22,41,17
71,22,49,18
69,17,52,19
66,21,45,20
70,22,48,21
72,25,47,22
78,26,52,23
82,28,54,24
81,26,55,25
83,26,57,26
87,30,57,27
90,30,60,28
94,30,64,29
95,29,66,30
99,26,73,31
101,29,72,32
103,35,68,33
108,38,70,34
105,37,68,35
101,39,62,36
97,33,64,37
92,35,57,38
95,37,58,39
94,36,58,40
90,35,55,41
82,34,48,42
73,26,47,43
77,27,50,44
67,23,44,45
58,22,36,46
56,22,34,47
54,21,33,48
52,19,33,49
52,20,32,50
