total,SD,not SD,timestep
27,2,25,0
27,2,25,1
29,3,26,2
30,3,27,3
35,3,32,4
40,9,31,5
45,11,34,6
50,19,31,7
58,19,39,8
69,22,47,9
77,25,52,10
90,28,62,11
93,31,62,12
100,33,67,13
107,37,70,14
87,28,59,15
95,31,64,16
101,36,65,17
101,35,66,18
105,32,73,19
104,34,70,20
106,38,68,21
104,35,69,22
99,34,65,23
100,38,62,24
100,36,64,25
103,37,66,26
104,36,68,27
100,36,64,28
98,33,65,29
93,37,56,30
91,40,51,31
88,40,48,32
80,36,44,33
77,39,38,34
72,37,35,35
70,36,34,36
67,31,36,37
61,29,32,38
54,22,32,39
52,22,30,40
49,20,29,41
45,19,26,42
43,21,22,43
40,18,22,44
36,14,22,45
36,14,22,46
35,18,17,47
37,17,20,48
35,15,20,49
30,12,18,50
