total,SD,not SD,timestep
30,8,22,0
30,8,22,1
30,8,22,2
33,8,25,3
40,8,32,4
47,16,31,5
53,20,33,6
59,23,36,7
65,25,40,8
79,27,52,9
87,32,55,10
101,35,66,11
105,39,66,12
107,40,67,13
114,44,70,14
98,31,67,15
107,37,70,16
115,40,75,17
116,40,76,18
119,44,75,19
126,43,83,20
126,46,80,21
126,47,79,22
119,47,72,23
118,55,63,24
108,50,58,25
113,50,63,26
113,49,64,27
107,48,59,28
102,44,58,29
98,45,53,30
93,41,52,31
91,39,52,32
87,35,52,33
76,28,48,34
71,24,47,35
69,23,46,36
65,22,43,37
64,22,42,38
63,20,43,39
57,19,38,40
55,18,37,41
57,21,36,42
53,21,32,43
47,22,25,44
40,20,20,45
35,19,16,46
30,16,14,47
31,17,14,48
30,16,14,49
27,13,14,50
